# h/a,X_tt,Y_tt
0.38200000,27.41152964,13.70576482
0.38300000,27.26857792,13.63428896
0.38400000,27.12673645,13.56336823
0.38500000,26.98600180,13.49300090
0.38600000,26.84635613,13.42317806
0.38700000,26.70779765,13.35389883
0.38800000,26.57030576,13.28515288
0.38900000,26.43387264,13.21693632
0.39000000,26.29849047,13.14924524
0.39100000,26.16414246,13.08207123
0.39200000,26.03082111,13.01541056
0.39300000,25.89851599,12.94925799
0.39400000,25.76721970,12.88360985
0.39500000,25.63691623,12.81845811
0.39600000,25.50760133,12.75380066
0.39700000,25.37925934,12.68962967
0.39800000,25.25188616,12.62594308
0.39900000,25.12547203,12.56273602
0.40000000,24.99999911,12.49999955
0.40100000,24.87546898,12.43773449
0.40200000,24.75186141,12.37593071
0.40300000,24.62917803,12.31458901
0.40400000,24.50739904,12.25369952
0.40500000,24.38652869,12.19326435
0.40600000,24.26654496,12.13327248
0.40700000,24.14744437,12.07372218
0.40800000,24.02922081,12.01461040
0.40900000,23.91186064,11.95593032
0.41000000,23.79536049,11.89768024
0.41100000,23.67970702,11.83985351
0.41200000,23.56489694,11.78244847
0.41300000,23.45092206,11.72546103
0.41400000,23.33776711,11.66888355
0.41500000,23.22543137,11.61271569
0.41600000,23.11390461,11.55695230
0.41700000,23.00318139,11.50159070
0.41800000,22.89324710,11.44662355
0.41900000,22.78410341,11.39205170
0.42000000,22.67573820,11.33786910
0.42100000,22.56814187,11.28407094
0.42200000,22.46131160,11.23065580
0.42300000,22.35523573,11.17761786
0.42400000,22.24991154,11.12495577
0.42500000,22.14532763,11.07266381
0.42600000,22.04148348,11.02074174
0.42700000,21.93836577,10.96918289
0.42800000,21.83596985,10.91798493
0.42900000,21.73428900,10.86714450
0.43000000,21.63331658,10.81665829
0.43100000,21.53304602,10.76652301
0.43200000,21.43347084,10.71673542
0.43300000,21.33458462,10.66729231
0.43400000,21.23638498,10.61819249
0.43500000,21.13885574,10.56942787
0.43600000,21.04200058,10.52100029
0.43700000,20.94580749,10.47290375
0.43800000,20.85027430,10.42513715
0.43900000,20.75539117,10.37769558
0.44000000,20.66115786,10.33057893
0.44100000,20.56756100,10.28378050
0.44200000,20.47460225,10.23730113
0.44300000,20.38227034,10.19113517
0.44400000,20.29056146,10.14528073
0.44500000,20.19947181,10.09973590
0.44600000,20.10899049,10.05449524
0.44700000,20.01911916,10.00955958
0.44800000,19.92984709,9.96492355
0.44900000,19.84117245,9.92058622
0.45000000,19.75308818,9.87654409
0.45100000,19.66558735,9.83279368
0.45200000,19.57866821,9.78933411
0.45300000,19.49232227,9.74616114
0.45400000,19.40654947,9.70327473
0.45500000,19.32133816,9.66066908
0.45600000,19.23668837,9.61834418
0.45700000,19.15259514,9.57629757
0.45800000,19.06904882,9.53452441
0.45900000,18.98605103,9.49302552
0.46000000,18.90359225,9.45179612
0.46100000,18.82166938,9.41083469
0.46200000,18.74027780,9.37013890
0.46300000,18.65941445,9.32970722
0.46400000,18.57907475,9.28953738
0.46500000,18.49924818,9.24962409
0.46600000,18.41993935,9.20996968
0.46700000,18.34113490,9.17056745
0.46800000,18.26284084,9.13142042
0.46900000,18.18504112,9.09252056
0.47000000,18.10774170,9.05387085
0.47100000,18.03093258,9.01546629
0.47200000,17.95461102,8.97730551
0.47300000,17.87877433,8.93938716
0.47400000,17.80341421,8.90170711
0.47500000,17.72853224,8.86426612
0.47600000,17.65412023,8.82706011
0.47700000,17.58017700,8.79008850
0.47800000,17.50669726,8.75334863
0.47900000,17.43367580,8.71683790
0.48000000,17.36111150,8.68055575
0.48100000,17.28899920,8.64449960
0.48200000,17.21733518,8.60866759
0.48300000,17.14611443,8.57305721
0.48400000,17.07533715,8.53766858
0.48500000,17.00499458,8.50249729
0.48600000,16.93508821,8.46754411
